,Number,lambda,Rcos_fai,Rsin_fai,month,day,alpha,delta,SG,SG_d,jd,X,Y,Z,Lambda,Miu,Niu,P,Q
0,97,34.7625,0.86165,0.50608,12,4.13532,10.96020278,19.7,-34024089.27538919,72.961352545054,-393.49902219907415,0.3104475710380451,0.8583203836618718,0.37213938586869216,0.9242976335842381,0.1789990818391342,0.3370952584230821,-0.2393171495360359,0.22272312315362247
1,97,34.7625,0.86165,0.50608,12,4.14534,10.96067222,19.7,-34024087.76827409,72.96763219128674,-393.4990048032406,0.3104472784199219,0.8583204678621803,0.37213942290202073,0.9242961669647553,0.1790066548565633,0.3370952584230821,-0.23931673661910774,0.2227203266898797
2,97,34.7625,0.86165,0.50608,12,5.09543,11.00633056,19.783333,-33937458.71990363,73.92200040152917,-392.4990914525464,0.293800219369813,0.8630985034834394,0.37421071762419084,0.9236709828871765,0.17964936509845134,0.33846420932199117,-0.2462067224072207,0.2249012347142944
3,97,34.7625,0.86165,0.50608,12,5.09868,11.00648333,19.783333,-33937458.231068835,73.92403721318891,-392.4990858101845,0.2938001239397416,0.8630985292819933,0.37421072898795266,0.9236705038776951,0.17965182791823783,0.33846420932199117,-0.24620658595277417,0.2249003197911013
4,758,279.2379,0.88044,0.47257,12,3.36964,10.92378611,19.625083,-34110690.58652498,72.12255614592384,-394.4986153935186,0.32704152343910803,0.8532397676835328,0.3699528997211484,0.9248432083707865,0.17849494507752847,0.3358639523857838,-0.23230696806765594,0.22053775818992055
5,758,279.2379,0.88044,0.47257,12,3.3727699999999996,10.92394167,19.625583,-34110690.115739465,72.12451775223016,-394.49860995949,0.3270414339531873,0.8532397970641745,0.3699529119087466,0.9248398458566222,0.17849690061611181,0.3358721720928087,-0.23230307723768986,0.2205440558063549
6,758,279.2379,0.88044,0.47257,12,3.3833800000000003,10.92443056,19.726667000000003,-34110688.51988216,72.13116715767731,-394.49859153935205,0.32704113061564044,0.8532398966579522,0.3699529532219465,0.9242550601397416,0.17839221540830866,0.3375334076618171,-0.2315435817667546,0.22200024294986587
7,758,279.2379,0.88044,0.47257,12,3.3864900000000002,10.924575,19.627,-34110688.052104875,72.13311622968564,-394.498586140046,0.32704104170131587,0.8532399258508522,0.3699529653316536,0.9248297164420665,0.17850554921589115,0.33589546660355485,-0.2322918927237987,0.22056076575788017
8,758,279.2379,0.88044,0.47257,12,3.39707,10.92504167,19.627806,-34110686.4607598,72.13974683415145,-394.4985677719903,0.3270407392207593,0.8532400251630147,0.36995300652799223,0.9248236228836086,0.17851218632965446,0.33590871660057214,-0.23228544480615343,0.22056964177020733
9,758,279.2379,0.88044,0.47257,12,4.371630000000001,10.97163611,19.724611,-34024053.73183982,73.10945066741357,-393.4986119386568,0.3104890933155619,0.8582824513209016,0.37213883213997345,0.9241196605510144,0.17915594646249372,0.33749962937787986,-0.23911085731516707,0.2229991245348585
10,758,279.2379,0.88044,0.47257,12,4.38105,10.972075,19.725610999999997,-34024052.31497117,73.11535428678617,-393.49859558449026,0.31048882233462777,0.8582825354578473,0.3721388669549686,0.9241125052329017,0.17916190411815286,0.33751605855859385,-0.23910321709540644,0.22301103049738508
11,758,279.2379,0.88044,0.47257,12,4.38413,10.9722,19.725944000000002,-34024051.851706244,73.11728455731645,-393.4985902372679,0.3104887337335482,0.8582825629675891,0.3721388783382092,0.9241101885784087,0.17916354685403335,0.33752152945295316,-0.23910069675082207,0.22301512199026607
12,758,279.2379,0.88044,0.47257,12,4.38727,10.97234722,19.726360999999997,-34024051.37941673,73.11925243030613,-393.4985847858795,0.3104886434064371,0.8582825910132297,0.3721388899431966,0.9241073166121007,0.17916545376911408,0.3375283803766585,-0.2390975420580927,0.22302029976837018
13,758,279.2379,0.88044,0.47257,12,4.39042,10.97250833,19.726582999999998,-34024050.9056231,73.12122657041375,-393.4985793171299,0.3104885527916129,0.8582826191481859,0.3721389015851392,0.9241055289166178,0.17916780334078838,0.33753202762371254,-0.239095785702079,0.22302256318061464
14,46,14.29,0.659,0.748,12,4.03368,10.955475,19.683332999999998,-34024104.56313129,72.89765361963461,-393.4991986574067,0.31046304863310703,0.8583125947313315,0.37214931298044734,0.9244086333847605,0.17894144066834605,0.33682137600701084,-0.23944744658739825,0.22250509499309845
15,46,14.29,0.659,0.748,12,4.03506,10.95553333,19.683332999999998,-34024104.35556464,72.89851848067094,-393.4991962615745,0.31046300843695107,0.8583126065173283,0.3721493180808939,0.9244084512128489,0.17894238176297342,0.33682137600701084,-0.23944739704606693,0.22250474782246904
16,46,14.29,0.659,0.748,12,4.0361,10.95557222,19.683332999999998,-34024104.19913751,72.89917026037972,-393.49919445601876,0.3104629781441778,0.8583126153995292,0.3721493219247105,0.924408329753965,0.17894300921306858,0.33682137600701084,-0.2394473656017358,0.222504516621235
