Number,lambda,Rcos_fai,Rsin_fai,month,day,alpha,delta
97,34.7625,0.86165,0.50608,12,4.13532,10.96020278,19.700000
97,34.7625,0.86165,0.50608,12,4.14534,10.96067222,19.700000
97,34.7625,0.86165,0.50608,12,5.09543,11.00633056,19.783333
97,34.7625,0.86165,0.50608,12,5.09868,11.00648333,19.783333
758,279.2379,0.88044,0.47257,12,3.36964,10.92378611,19.625083
758,279.2379,0.88044,0.47257,12,3.37277,10.92394167,19.625583
758,279.2379,0.88044,0.47257,12,3.38338,10.92443056,19.726667
758,279.2379,0.88044,0.47257,12,3.38649,10.92457500,19.627000
758,279.2379,0.88044,0.47257,12,3.39707,10.92504167,19.627806
758,279.2379,0.88044,0.47257,12,4.37163,10.97163611,19.724611
758,279.2379,0.88044,0.47257,12,4.38105,10.97207500,19.725611
758,279.2379,0.88044,0.47257,12,4.38413,10.97220000,19.725944
758,279.2379,0.88044,0.47257,12,4.38727,10.97234722,19.726361
758,279.2379,0.88044,0.47257,12,4.39042,10.97250833,19.726583
46,14.29,0.659,0.748,12,4.03368,10.95547500,19.683333
46,14.29,0.659,0.748,12,4.03506,10.95553333,19.683333
46,14.29,0.659,0.748,12,4.0361,10.95557222,19.683333
46,14.29,0.659,0.748,12,4.03745,10.95556444,19.683333
713,254.9897,0.76865,0.63793,12,4.4528,10.97548056,19.732056
713,254.9897,0.76865,0.63793,12,4.46571,10.97609167,19.733333
713,254.9897,0.76865,0.63793,12,4.47843,10.97667222,19.734694
713,254.9897,0.76865,0.63793,12,4.49293,10.97736944,19.736000
704,253.34,0.833,0.544,11,25.45604,10.55532778,18.970833
704,253.34,0.833,0.544,11,25.46656,10.55577500,18.972028
704,253.34,0.833,0.544,11,25.47715,10.55628889,18.972306
704,253.34,0.833,0.544,11,25.48772,10.55672778,18.973194
327,117.575,0.76278,0.6447,12,1.87403,10.85284167,19.483333
327,117.575,0.76278,0.6447,12,1.88457,10.85333333,19.484528
327,117.575,0.76278,0.6447,12,1.89575,10.85384167,19.483333
327,117.575,0.76278,0.6447,12,2.80773,10.89707778,19.570417
327,117.575,0.76278,0.6447,12,2.81219,10.89728333,19.566667
327,117.575,0.76278,0.6447,12,2.81639,10.89747778,19.566667
327,117.575,0.76278,0.6447,12,2.89715,10.90121667,19.579083
327,117.575,0.76278,0.6447,12,2.90591,10.90161944,19.566667
327,117.575,0.76278,0.6447,12,2.91478,10.90203333,19.566667
327,117.575,0.76278,0.6447,12,4.79603,10.99200556,19.767028
327,117.575,0.76278,0.6447,12,4.79988,10.99218889,19.766667
327,117.575,0.76278,0.6447,12,4.8038,10.99237500,19.766667
327,117.575,0.76278,0.6447,12,4.88939,10.99640000,19.776806
327,117.575,0.76278,0.6447,12,4.89332,10.99658056,19.766667
327,117.575,0.76278,0.6447,12,4.89734,10.99676389,19.766667
