,Alpha,Delta,deltaT,vx,vy,vz,x,y,z
0,-0.03721324802520979,2.753246945208988,0.0,-7115475.013271194,-804960.3879298246,3284416.7750098463,-7115475.013271194,-804960.3879298246,3284416.7750098463
1,-0.24863398117900806,3.0146165874387654,100.0,-7210204.698509663,-1343096.2361389697,2838452.6057198863,-7210204.698509663,-1343096.2361389697,2838452.6057198863
2,-0.4415862022793528,3.268217462557619,200.0,-7245975.380556343,-1870245.4928929599,2369281.553246484,-7245975.380556343,-1870245.4928929599,2369281.553246484
3,-0.5922607703734835,3.50212754180651,300.0,-7222160.023625317,-2382010.9724087003,1880630.9569193604,-7222160.023625317,-2382010.9724087003,1880630.9569193604
4,-0.7017449880959159,3.7121107601013215,400.0,-7138599.2422415,-2874066.8354559494,1376426.894881708,-7138599.2422415,-2874066.8354559494,1376426.894881708
5,-0.7804696915662372,3.899672048346844,500.0,-6995613.994834204,-3342193.1498543583,860769.2883698326,-6995613.994834204,-3342193.1498543583,860769.2883698326
6,-0.8380763804344161,4.068802344669097,600.0,-6794015.34512295,-3782311.691527571,337904.1927218314,-6794015.34512295,-3782311.691527571,337904.1927218314
7,-0.881173102583924,4.223794360873192,700.0,-6535111.053374426,-4190522.1981268954,-187806.1280776636,-6535111.053374426,-4190522.1981268954,-187806.1280776636
8,-0.9138676643797419,4.368291147314837,800.0,-6220708.223666213,-4563139.662765864,-711916.3273177512,-6220708.223666213,-4563139.662765864,-711916.3273177512
9,-0.9386367526792907,4.505036825247981,900.0,-5853111.792813909,-4896731.522790466,-1229933.3602364003,-5853111.792813909,-4896731.522790466,-1229933.3602364003
10,-0.9569701970168845,4.635918895138053,1000.0,-5435118.291910521,-5188154.681669265,-1737354.3924014866,-5435118.291910521,-5188154.681669265,-1737354.3924014866
11,-0.9697793540905397,4.762103658538237,1100.0,-4970004.5152750015,-5434591.756584999,-2229706.8747636974,-4970004.5152750015,-5434591.756584999,-2229706.8747636974
12,-0.9776457365232377,4.884190549426445,1200.0,-4461510.472598451,-5633586.099051857,-2702590.7187805255,-4461510.472598451,-5633586.099051857,-2702590.7187805255
13,-0.980971382861169,5.00236283218464,1300.0,-3913816.7848159457,-5783074.684393272,-3151721.641166895,-3913816.7848159457,-5783074.684393272,-3151721.641166895
