,index,HR,DEJ2000,RAJ2000,Vmag,pmRA,pmDE,Parallax,RadVel,Format_Parallax,TA_origin,TimeAngle,appDE,appRA,az,decr,rar,topoDE,topoRA,zd
5308,5428,5429,30.3714,14.5305,3.58,-0.1,0.11900000000000001,0.028999999999999998,-14,0.028999999999999998,1.9860997580407123,1.9860997580407123,30.293921428187073,14.543862792495068,256.4165195490155,30.29767091193702,14.544347607724402,30.293938282372153,14.54386735039618,25.93383250385367
5312,5432,5433,26.6772,14.53894444,6.01,-0.064,-0.028999999999999998,0.011000000000000001,-4,0.011000000000000001,1.9773189854518165,1.9773189854518165,26.5996610060294,14.55264371589932,249.50915070310535,26.604438278483084,14.553118200500146,26.599675909134618,14.552648122985076,27.907325088074007
5313,5433,5434,22.26,14.54236111,5.92,-0.127,0.039,0.0,-12,0.001,1.9735204004207851,1.9735204004207851,22.182279352925423,14.556442450032243,242.537838986113,22.188351467019185,14.556912511650983,22.182291902229974,14.556446708016107,30.71660065394392
5314,5434,5435,38.3083,14.53463889,3.03,-0.114,0.153,0.025,-37,0.025,1.982792810676525,1.982792810676525,38.23129351510331,14.547169285241239,274.16520669004456,38.232907768578265,14.547688270357007,38.231314152508624,14.547174297760368,22.778125589658448
5316,5436,5437,60.2256,14.52855556,6.27,-0.049,0.021,0.0,-19,0.001,1.9926876876381634,1.9926876876381634,60.149451446076284,14.537271521722312,327.1093323185654,60.14526739234895,14.53812211323625,60.1494804864523,14.537279420798729,26.912782186952978
5320,5440,5441,36.9594,14.55563889,6.43,-0.004,-0.057,0.0,2,0.001,1.9616608562448707,1.9616608562448707,36.88266103780921,14.568301314296798,270.6499251582156,36.88460688195299,14.568806563483895,36.88268085756656,14.568306252192022,22.9147217641201
5321,5441,5442,55.3978,14.54191667,5.76,0.006,-0.015,0.0,3,0.001,1.9781702869320519,1.9781702869320519,55.32167711806983,14.551789896477406,317.5426473475763,55.31880364913667,14.55251385801981,55.321704471021455,14.55179682150484,24.42123793108693
5324,5444,5445,32.5344,14.56991667,6.33,0.10800000000000001,0.006999999999999999,0.0,-8,0.001,1.9469260300712374,1.9469260300712374,32.4576682660495,14.583036387478979,260.28700320046727,32.46078048736575,14.58351767533841,32.45768586950525,14.583041078365655,24.443829971722867
5326,5446,5447,29.745,14.578,4.46,0.18899999999999997,0.132,0.068,0,0.068,1.9385740609143678,1.9385740609143678,29.668256705376255,14.591388486746768,254.45106188994083,29.672123788741203,14.591858976134818,29.66827287928133,14.591393047522525,25.736901533214812
5327,5447,5448,36.6258,14.57736111,6.03,-0.028999999999999998,-0.054000000000000006,0.0,-12,0.001,1.939922044167833,1.939922044167833,36.54939437409148,14.59004013224944,269.624546160524,36.5514041722012,14.590537585539902,36.54941383902257,14.59004506426906,22.77030625342498
5330,5450,5451,57.0653,14.57108333,6.48,0.217,-0.22899999999999998,0.025,-22,0.025,1.9494371095587262,1.9494371095587262,56.98970039160822,14.580522736107248,321.3540464970723,56.986340844769714,14.581272125527525,56.98972790926284,14.580529998878166,24.97216521777345
5331,5451,5452,49.3683,14.57766667,5.74,-0.045,0.054000000000000006,0.0,-20,0.001,1.9413388858689515,1.9413388858689515,49.29249321434143,14.588622148797723,303.3711710552435,49.29117876965258,14.589232367365838,49.29251799854782,14.588628222567941,22.116947416918915
5333,5453,5454,23.2503,14.60191667,6.38,-0.012,0.027000000000000003,0.0,7,0.001,1.9140799828553892,1.9140799828553892,23.173608992017815,14.615882799796639,242.87332520635775,23.17930923249404,14.616337387980218,23.17362170683813,14.615887125581503,29.439851085597866
5341,5461,5462,18.2983,14.63722222,5.91,-0.028999999999999998,-0.068,0.038,-14,0.038,1.8783702642803792,1.8783702642803792,18.221936703103367,14.651592636446415,235.45556592108784,18.229118976570618,14.652039699200191,18.2219466381089,14.651596844156513,32.630417656209495
5343,5463,5464,43.6419,14.63680556,5.7,-0.113,0.03,0.0,-49,0.001,1.8814104975012267,1.8814104975012267,43.56679468021672,14.648551097361356,287.97666515365205,43.56690758086362,14.649080377037498,43.56681657170573,14.648556610935666,20.89952544041089
5346,5466,5467,54.0233,14.63755556,5.85,0.018000000000000002,-0.016,0.0,-3,0.001,1.8824137747368699,1.8824137747368699,53.94864807459156,14.647546546338717,315.3221652523614,53.94603728616169,14.648208670347293,53.94867376084711,14.647553333700023,23.088891872435003
5347,5467,5468,44.4044,14.64727778,5.39,-0.067,-0.017,0.012,-13,0.012,1.871058120297029,1.871058120297029,44.32950032215627,14.658903395363946,290.1203932875597,44.32940432687118,14.659436409391764,44.32952240397797,14.658908988139864,20.789561548775517
5351,5471,5472,21.9756,14.67275,6.1,-0.018000000000000002,0.034,0.0,1,0.001,1.8431708302986234,1.8431708302986234,21.90002859250367,14.686791949802112,239.62814803495064,21.906025651631346,14.687227751540227,21.900040230467095,14.686796278138269,29.609459610863993
5352,5472,5473,13.5342,14.67844444,5.91,0.055,-0.025,0.0,-8,0.001,1.8367724567797392,1.8367724567797392,13.458288168396024,14.69319051867653,229.31948651506215,13.46700440241679,14.693635385570422,13.458295418346557,14.693194651657153,35.96442107231395
5354,5474,5475,16.4183,14.67877778,4.94,0.015,0.015,0.002,-1,0.002,1.8366742436137429,1.8366742436137429,16.342543679168653,14.693288676053811,232.40567825163856,16.350282952130907,14.693727328382945,16.34255243748614,14.69329286482315,33.68168587630897
5355,5475,5476,16.4178,14.67886111,5.88,0.001,0.01,0.002,-7,0.002,1.8365909053625966,1.8365909053625966,16.34204505138091,14.693372014268618,232.40343165164097,16.34978438218835,14.693810645277456,16.34205380906915,14.693376203074296,33.681319280507935
5356,5476,5477,13.7283,14.68580556,4.83,0.053,-0.016,0.009000000000000001,-6,0.009000000000000001,1.829428975830142,1.829428975830142,13.652524606790845,14.700533992162713,229.36955872804694,13.661163486171962,14.700976366541878,13.65253193158632,14.70053813260675,35.7446578805358
5357,5477,5478,13.7283,14.68580556,4.43,0.053,-0.016,0.009000000000000001,-6,0.009000000000000001,1.829428975830142,1.829428975830142,13.652524606790845,14.700533992162713,229.36955872804694,13.661163486171962,14.700976366541878,13.65253193158632,14.70053813260675,35.7446578805358
5358,5478,5479,79.6603,14.56063889,6.26,-0.10099999999999999,0.081,0.015,-23,0.015,1.9754115735902609,1.9754115735902609,79.58513038942027,14.55453372971332,352.20400531791574,79.574611103285,14.55726247140499,79.5851630456129,14.554555534846632,40.75817523697004
