,Number,lambda,Rcos_fai,Rsin_fai,month,day,alpha,delta,SG,SG_d,jd,jd_s,X,Y,Z,Lambda,Miu,Niu,P,Q,formatT
0,97,34.7625,0.86165,0.50608,12,4.13532,10.96020278,19.7,-34024089.27538919,72.961352545054,-393.49902219907415,-33998315.51800001,0.3104475710380447,0.858320383661872,0.37213938586869216,0.9242976335842381,0.1789990818391342,0.3370952584230821,-0.23931714953603603,0.22272312315362253,-6.769009112759862
1,97,34.7625,0.86165,0.50608,12,4.14534,10.96067222,19.7,-34024087.76827409,72.96763219128674,-393.4990048032406,-33998314.01499999,0.3104472784199223,0.8583204678621801,0.37213942290202057,0.9242961669647553,0.1790066548565633,0.3370952584230821,-0.23931673661910743,0.22272032668987968,-6.769008813515013
2,97,34.7625,0.86165,0.50608,12,5.09543,11.00633056,19.783333,-33937458.71990363,73.92200040152917,-392.4990914525464,-33911921.5015,0.2938002193698118,0.8630985034834399,0.37421071762419095,0.9236709828871765,0.17964936509845134,0.33846420932199117,-0.24620672240722122,0.22490123471429457,-6.751808205124693
3,97,34.7625,0.86165,0.50608,12,5.09868,11.00648333,19.783333,-33937458.231068835,73.92403721318891,-392.4990858101845,-33911921.01399994,0.29380012393974103,0.8630985292819933,0.3742107289879527,0.9236705038776951,0.17965182791823783,0.33846420932199117,-0.24620658595277445,0.22490031979110128,-6.7518081080642265
4,758,279.2379,0.88044,0.47257,12,3.36964,10.92378611,19.625083,-34110690.58652498,72.12255614592384,-394.4986153935186,-34084680.37000001,0.32704152343910836,0.8532397676835327,0.3699528997211483,0.9248432083707865,0.17849494507752847,0.3358639523857838,-0.23230696806765577,0.2205377581899205,-6.786204213790697
5,758,279.2379,0.88044,0.47257,12,3.3727699999999996,10.92394167,19.625583,-34110690.115739465,72.12451775223016,-394.49860995949,-34084679.90049993,0.3270414339531849,0.8532397970641752,0.36995291190874685,0.9248398458566222,0.17849690061611181,0.3358721720928087,-0.2323030772376909,0.22054405580635505,-6.786204120313998
6,758,279.2379,0.88044,0.47257,12,3.3833800000000003,10.92443056,19.726667000000003,-34110688.51988216,72.13116715767731,-394.49859153935205,-34084678.309000015,0.32704113061563944,0.8532398966579523,0.36995295322194655,0.9242550601397416,0.17839221540830866,0.3375334076618171,-0.231543581766755,0.2220002429498659,-6.786203803448962
7,758,279.2379,0.88044,0.47257,12,3.3864900000000002,10.924575,19.627,-34110688.052104875,72.13311622968564,-394.498586140046,-34084677.84249997,0.3270410417013155,0.8532399258508523,0.36995296533165367,0.9248297164420665,0.17850554921589115,0.33589546660355485,-0.23229189272379888,0.2205607657578802,-6.7862037105695645
8,758,279.2379,0.88044,0.47257,12,3.39707,10.92504167,19.627806,-34110686.4607598,72.13974683415145,-394.4985677719903,-34084676.25549996,0.3270407392207583,0.8532400251630151,0.36995300652799235,0.9248236228836086,0.17851218632965446,0.33590871660057214,-0.23228544480615387,0.2205696417702075,-6.786203394600453
9,758,279.2379,0.88044,0.47257,12,4.371630000000001,10.97163611,19.724611,-34024053.73183982,73.10945066741357,-393.4986119386568,-33998280.071499944,0.31048909331556135,0.8582824513209018,0.3721388321399735,0.9241196605510144,0.17915594646249372,0.33749962937787986,-0.23911085731516732,0.2229991245348585,-6.769002055419571
10,758,279.2379,0.88044,0.47257,12,4.38105,10.972075,19.725610999999997,-34024052.31497117,73.11535428678617,-393.49859558449026,-33998278.65849996,0.3104888223346277,0.8582825354578469,0.37213886695496845,0.9241125052329017,0.17916190411815286,0.33751605855859385,-0.23910321709540636,0.223011030497385,-6.7690017740935815
11,758,279.2379,0.88044,0.47257,12,4.38413,10.9722,19.725944000000002,-34024051.851706244,73.11728455731645,-393.4985902372679,-33998278.19649995,0.31048873373354835,0.8582825629675888,0.3721388783382091,0.9241101885784087,0.17916354685403335,0.33752152945295316,-0.2391006967508219,0.22301512199026596,-6.769001682110134
12,758,279.2379,0.88044,0.47257,12,4.38727,10.97234722,19.726360999999997,-34024051.37941673,73.11925243030613,-393.4985847858795,-33998277.72549999,0.31048864340643706,0.8582825910132295,0.3721388899431965,0.9241073166121007,0.17916545376911408,0.3375283803766585,-0.23909754205809258,0.22302029976837012,-6.76900158833481
13,758,279.2379,0.88044,0.47257,12,4.39042,10.97250833,19.726582999999998,-34024050.9056231,73.12122657041375,-393.4985793171299,-33998277.25300002,0.3104885527916123,0.8582826191481858,0.3721389015851391,0.9241055289166178,0.17916780334078838,0.33753202762371254,-0.23909578570207918,0.22302256318061459,-6.769001494260838
14,46,14.29,0.659,0.748,12,4.03368,10.955475,19.683332999999998,-34024104.56313129,72.89765361963461,-393.4991986574067,-33998330.76399994,0.31046304863310603,0.8583125947313315,0.37214931298044734,0.9244086333847605,0.17894144066834605,0.33682137600701084,-0.23944744658739858,0.22250509499309845,-6.769012148213558
15,46,14.29,0.659,0.748,12,4.03506,10.95553333,19.683332999999998,-34024104.35556464,72.89851848067094,-393.4991962615745,-33998330.55700004,0.31046300843695085,0.8583126065173284,0.3721493180808939,0.9244084512128489,0.17894238176297342,0.33682137600701084,-0.23944739704606702,0.2225047478224691,-6.769012107000216
16,46,14.29,0.659,0.748,12,4.0361,10.95557222,19.683332999999998,-34024104.19913751,72.89917026037972,-393.49919445601876,-33998330.401000015,0.3104629781441757,0.8583126153995295,0.3721493219247107,0.924408329753965,0.17894300921306858,0.33682137600701084,-0.23944736560173663,0.22250451662123508,-6.769012075940865
17,46,14.29,0.659,0.748,12,4.03745,10.95556444,19.683332999999998,-34024103.9960831,72.90001632040367,-393.499192112269,-33998330.198500045,0.31046293882183484,0.8583126269292999,0.3721493269142786,0.9244083540520222,0.17894288369078823,0.33682137600701084,-0.23944739250124533,0.22250456632489207,-6.769012035623452
18,713,254.9897,0.76865,0.63793,12,4.4528,10.97548056,19.732056,-34024041.52300449,73.16032081463685,-393.4984710185188,-33998267.89600002,0.3104773981941569,0.8582708624154661,0.3721461744016588,0.924064577142172,0.17920960198103636,0.3376219421614321,-0.23906311510800632,0.2230789076759903,-6.768999631297414
19,713,254.9897,0.76865,0.63793,12,4.46571,10.97609167,19.733333,-34024039.581202455,73.16841165643805,-393.4984486053236,-33998265.959499955,0.310477028551827,0.8582709764023218,0.37214622211483533,0.9240552782175055,0.179218025159453,0.3376429212293872,-0.23905330991905904,0.22309380868090645,-6.768999245743413
20,713,254.9897,0.76865,0.63793,12,4.47843,10.97667222,19.734694,-34024037.66797853,73.17638342278077,-393.4984265219903,-33998264.05149996,0.310476664349049,0.8582710887118049,0.372146269125746,0.9240455883683634,0.17922586094937862,0.33766528009838254,-0.23904292838195812,0.22311011208705434,-6.76899886586373
21,713,254.9897,0.76865,0.63793,12,4.49293,10.97736944,19.736,-34024035.48702363,73.18547073487814,-393.4984013483798,-33998261.87650002,0.3104762491800831,0.8582712167378003,0.372146322715158,0.9240358511879517,0.17923563977789786,0.3376867352336559,-0.2390328331233539,0.22312492088236185,-6.768998432824792
22,704,253.34,0.833,0.544,11,25.456039999999998,10.55532778,18.970833,-34803770.033984296,64.29152506543323,-402.49846539351813,-34775867.40999997,0.45544575801976533,0.8035847204024418,0.34843189443635786,0.9296817664292897,0.17323508436372126,0.3250867864346534,-0.1758713812299567,0.20087414575592558,-6.923818424997841
23,704,253.34,0.833,0.544,11,25.46656,10.555775,18.972027999999998,-34803768.45166393,64.29811806694293,-402.4984471296298,-34775865.83200002,0.4554454767828585,0.8035848552529711,0.3484319516040898,0.9296737485280085,0.17324109882757863,0.32510651020072545,-0.17585974901112314,0.2008879337789183,-6.923818110820628
24,704,253.34,0.833,0.544,11,25.47715,10.55628889,18.972306,-34803766.85881474,64.30475493858879,-402.4984287442129,-34775864.243499994,0.45544519367419284,0.8035849910010372,0.348432009152182,0.9296706439431616,0.17324914814391953,0.3251110986381629,-0.17585672303403085,0.20088885050179553,-6.923817794552867
25,704,253.34,0.833,0.544,11,25.48772,10.55672778,18.973194,-34803765.26897378,64.3113792759056,-402.49841039351844,-34775862.65799999,0.45544491109980495,0.8035851264929671,0.3484320665915533,0.929664363246346,0.17325534632278725,0.3251257551784185,-0.1758480046589531,0.20089850273388685,-6.9238174788824045
26,327,117.575,0.76278,0.6447,12,1.8740299999999999,10.85284167,19.483333,-34283887.83161446,70.46736827309554,-396.4977397164344,-34257404.71149994,0.35975805735751304,0.842377484084524,0.36525014104798786,0.9258767493012461,0.17750556498997538,0.33353263633555735,-0.21818555996192263,0.216126450407034,-6.820593348187353
27,327,117.575,0.76278,0.6447,12,1.88457,10.85333333,19.484528,-34283886.24628585,70.47397380896534,-396.4977214178236,-34257403.13049996,0.35975775972757623,0.8423775845691386,0.36525018622643907,0.9258683939233224,0.1775122001160576,0.33355229866364927,-0.21817557558244968,0.21614061552591385,-6.820593033412838
28,327,117.575,0.76278,0.6447,12,1.89575,10.85384167,19.483333,-34283884.56469445,70.48098043979456,-396.49770200810224,-34257401.45350003,0.35975744402567,0.8423776911552542,0.3652502341481314,0.9258736511036775,0.17752172456068188,0.33353263633555735,-0.2181847191099801,0.2161206006591027,-6.820592699524891
29,327,117.575,0.76278,0.6447,12,2.80773,10.89707778,19.570417000000003,-34197261.24847519,71.41146468672281,-395.4978548206017,-34171014.65649998,0.3434122602564761,0.8479405308608582,0.36766249687575997,0.9252405621214971,0.17812430983506003,0.3349651212453016,-0.22514512588638774,0.2185408742203831,-6.803393229280376
30,327,117.575,0.76278,0.6447,12,2.81219,10.89728333,19.566667000000002,-34197260.57764349,71.41425981878614,-395.49784707754577,-34171013.98749995,0.34341213351108263,0.8479405713728474,0.36766251511941156,0.9252614491943381,0.17813177337266795,0.33490345168406654,-0.2251740426907709,0.21848584835485002,-6.803393096083562
31,327,117.575,0.76278,0.6447,12,2.81639,10.89747778,19.566667000000002,-34197259.94591861,71.41689200578257,-395.4978397858791,-34171013.35749996,0.34341201415450423,0.8479406095231453,0.36766253229952467,0.925260844646692,0.17813491351722213,0.33490345168406654,-0.2251738762902789,0.21848470355769395,-6.803392970651592
32,327,117.575,0.76278,0.6447,12,2.89715,10.90121667,19.579082999999997,-34197247.79875162,71.46750520157318,-395.49769957754626,-34171001.2435,0.3434097191100904,0.8479413430982776,0.36766286264738746,0.9251779325994196,0.17818156286981943,0.33510763000017213,-0.22507435006768708,0.2186408703891234,-6.8033905587739785
33,327,117.575,0.76278,0.6447,12,2.90591,10.90161944,19.566667000000002,-34197246.481153995,71.47299519168834,-395.4976843692128,-34170999.929499984,0.34340947016905693,0.8479414226687666,0.3676628984799345,0.9252479656396352,0.17820179609031636,0.33490345168406654,-0.22517033195911745,0.21846032041277197,-6.80339029715872
